2018-06-29,良,73,266,34
2018-06-30,良,65,245,24
2018-07-01,良,54,219,5
2018-07-02,良,55,219,6
2018-07-03,优,29,38,7
2018-07-04,优,32,55,11
2018-07-05,优,37,99,17
2018-07-06,优,36,122,17
2018-07-07,优,34,124,7
2018-07-08,优,33,109,5
2018-07-09,优,28,59,5
2018-07-10,优,23,26,10
2018-07-11,优,36,96,11
2018-07-12,优,46,208,12
2018-07-13,优,50,224,16
2018-07-14,良,59,282,23
2018-07-15,优,50,210,17
2018-07-16,优,36,113,10
2018-07-17,优,35,94,10
2018-07-18,优,32,67,8
2018-07-19,优,31,60,10
2018-07-20,优,35,71,17
2018-07-21,优,47,112,28
2018-07-22,优,47,133,19
2018-07-23,优,38,82,11
2018-07-24,优,23,10,10
2018-07-25,良,52,193,31
2018-07-26,良,75,315,40
2018-07-27,良,62,285,41
2018-07-28,良,53,200,33
2018-07-29,优,50,143,28
2018-07-30,良,55,193,28
2018-07-31,优,37,85,13
2018-08-01,良,53,205,19
2018-08-02,良,52,205,20
2018-08-03,优,37,99,14
2018-08-04,优,48,175,20
2018-08-05,优,49,158,20
2018-08-06,优,33,42,13
2018-08-07,优,30,29,11
2018-08-08,优,37,54,15
2018-08-09,良,68,260,30
2018-08-10,良,72,254,22
2018-08-11,良,57,150,15
2018-08-12,优,42,94,14
2018-08-13,优,38,105,8
2018-08-14,优,43,176,9
2018-08-15,优,37,113,12
2018-08-16,优,44,200,13
2018-08-17,优,42,148,10
2018-08-18,优,46,203,9
2018-08-19,优,37,108,9
2018-08-20,优,33,48,8
2018-08-21,良,63,261,20
2018-08-22,良,61,247,19
2018-08-23,良,60,203,18
2018-08-25,良,57,157,10
2018-08-27,优,47,134,10
2018-08-29,优,39,130,13
2018-08-31,优,39,152,7
2018-09-02,优,46,210,6
2018-09-03,良,60,276,25
2018-09-04,良,52,224,16
2018-09-05,良,55,216,14
2018-09-06,良,74,311,26
2018-09-07,优,44,192,8
2018-09-08,优,44,180,10
2018-09-09,优,43,101,10
2018-09-10,优,49,151,12
2018-09-11,优,49,151,13
2018-09-12,优,38,81,8
2018-09-13,优,41,126,7
2018-09-14,良,52,211,18
2018-09-15,良,51,208,21
2018-09-16,优,40,185,21
2018-09-17,优,43,206,14
2018-09-18,良,66,319,20
2018-09-19,良,70,325,18
2018-09-20,优,39,104,7
2018-09-21,良,53,221,32
2018-09-22,良,79,338,43
2018-09-23,良,61,259,18
2018-09-24,优,48,182,12
2018-09-25,优,44,170,11
2018-09-26,优,43,190,13
2018-09-27,优,50,221,13
2018-09-28,优,47,160,11
2018-09-29,良,68,286,33
2018-09-30,良,62,236,15
2018-10-01,优,49,184,11
2018-10-02,良,58,198,20
2018-10-03,良,67,215,28
2018-10-04,良,63,159,21
